번호,정답,답지수,난이도,변별도,반응도,1번표기,,,,2번표기,,,,3번표기,,,,4번표기,,,,5번표기,,,,무표기,,,,중복표기,,,,합계,,
,,,,,,상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원
48,1,5,25.81,0.31,0.41,20,8,50,40.65%,0,1,3,2.44%,1,7,12,9.76%,1,3,8,6.5%,13,12,50,40.65%,0,0,0,0%,0,0,0,0%,35,31,123
49,1,5,62.4,0.34,0.7,29,15,86,69.92%,3,6,13,10.57%,0,0,2,1.63%,0,0,1,0.81%,3,10,21,17.07%,0,0,0,0%,0,0,0,0%,35,31,123
50,5,5,77.64,0.3,0.82,0,3,5,4.07%,1,3,7,5.69%,1,3,6,4.88%,0,2,4,3.25%,33,20,101,82.11%,0,0,0,0%,0,0,0,0%,35,31,123
51,5,5,56.3,0.41,0.65,2,5,13,10.57%,5,10,21,17.07%,0,3,8,6.5%,0,1,1,0.81%,28,12,80,65.04%,0,0,0,0%,0,0,0,0%,35,31,123
52,1,5,19.72,0.28,0.36,19,8,44,35.77%,0,1,3,2.44%,5,12,28,22.76%,4,2,14,11.38%,7,8,34,27.64%,0,0,0,0%,0,0,0,0%,35,31,123
53,1,5,54.27,0.31,0.63,29,16,78,63.41%,0,1,1,0.81%,0,0,1,0.81%,6,13,41,33.33%,0,1,2,1.63%,0,0,0,0%,0,0,0,0%,35,31,123
54,4,5,13.62,0.29,0.31,1,0,3,2.44%,0,1,1,0.81%,12,17,57,46.34%,17,6,38,30.89%,5,7,24,19.51%,0,0,0,0%,0,0,0,0%,35,31,123
55,2,5,3.69,0.36,0.23,6,2,13,10.57%,15,2,28,22.76%,3,13,30,24.39%,2,3,11,8.94%,9,11,40,32.52%,0,0,1,0.81%,0,0,0,0%,35,31,123
56,3,5,12.6,0.13,0.3,4,6,26,21.14%,4,4,13,10.57%,16,10,37,30.08%,4,5,20,16.26%,7,6,27,21.95%,0,0,0,0%,0,0,0,0%,35,31,123
57,5,5,11.59,0.39,0.29,8,15,42,34.15%,8,9,32,26.02%,2,1,9,7.32%,0,3,4,3.25%,17,3,36,29.27%,0,0,0,0%,0,0,0,0%,35,31,123
58,5,5,63.41,0.35,0.71,6,14,31,25.2%,0,1,1,0.81%,0,0,0,0%,1,2,4,3.25%,28,14,87,70.73%,0,0,0,0%,0,0,0,0%,35,31,123
59,2,5,7.52,0.15,0.26,7,5,23,18.7%,12,6,32,26.02%,15,13,55,44.72%,1,2,4,3.25%,0,5,9,7.32%,0,0,0,0%,0,0,0,0%,35,31,123
60,3,5,25.81,0.22,0.41,1,3,4,3.25%,2,0,3,2.44%,19,10,50,40.65%,12,15,55,44.72%,1,3,11,8.94%,0,0,0,0%,0,0,0,0%,35,31,123
61,4,5,0,0.05,0.07,19,18,67,54.47%,4,3,19,15.45%,6,5,22,17.89%,4,2,9,7.32%,1,3,4,3.25%,0,0,1,0.81%,1,0,1,0.81%,34,31,123
62,5,5,39.02,0.33,0.51,0,0,0,0%,0,0,0,0%,0,0,1,0.81%,12,21,59,47.97%,23,10,63,51.22%,0,0,0,0%,0,0,0,0%,35,31,123
63,1,5,73.58,0.36,0.79,33,18,97,78.86%,0,2,2,1.63%,2,8,18,14.63%,0,0,3,2.44%,0,3,3,2.44%,0,0,0,0%,0,0,0,0%,35,31,123
64,4,5,13.62,0.18,0.31,2,4,18,14.63%,1,4,11,8.94%,7,7,15,12.2%,13,6,38,30.89%,12,10,41,33.33%,0,0,0,0%,0,0,0,0%,35,31,123
65,5,5,49.19,0.36,0.59,0,4,6,4.88%,1,3,4,3.25%,3,7,19,15.45%,5,5,21,17.07%,26,12,73,59.35%,0,0,0,0%,0,0,0,0%,35,31,123
66,1,5,93.9,0.1,0.95,35,28,117,95.12%,0,1,2,1.63%,0,1,2,1.63%,0,0,0,0%,0,1,2,1.63%,0,0,0,0%,0,0,0,0%,35,31,123
