번호,정답,답지수,난이도,변별도,반응도,1번표기,,,,2번표기,,,,3번표기,,,,4번표기,,,,5번표기,,,,무표기,,,,중복표기,,,,합계,,
11,1,5,38.01,0.23,0.5,25,16,62,50.41%,5,10,28,22.76%,2,0,7,5.69%,0,1,9,7.32%,3,6,17,13.82%,0,0,0,0%,0,0,0,0%,35,33,123
12,2,5,84.76,0.13,0.88,0,1,2,1.63%,32,26,108,87.8%,3,2,9,7.32%,0,2,2,1.63%,0,2,2,1.63%,0,0,0,0%,0,0,0,0%,35,33,123
13,3,5,21.75,0.21,0.37,2,2,6,4.88%,6,8,19,15.45%,17,9,46,37.4%,7,11,39,31.71%,3,3,13,10.57%,0,0,0,0%,0,0,0,0%,35,33,123
14,5,5,5.49,0.16,0.24,2,6,20,16.26%,0,3,4,3.25%,20,15,53,43.09%,3,5,16,13.01%,10,4,30,24.39%,0,0,0,0%,0,0,0,0%,35,33,123
15,5,5,0,0.17,0.12,10,5,27,21.95%,7,15,35,28.46%,7,6,24,19.51%,2,4,22,17.89%,9,3,15,12.2%,0,0,0,0%,0,0,0,0%,35,33,123
16,4,5,0,-0.01,0.16,1,0,7,5.69%,7,3,19,15.45%,7,13,31,25.2%,6,6,20,16.26%,14,11,45,36.59%,0,0,1,0.81%,0,0,0,0%,35,33,123
17,1,5,80.69,0.25,0.85,33,23,104,84.55%,0,2,5,4.07%,0,2,3,2.44%,0,1,2,1.63%,2,5,8,6.5%,0,0,0,0%,0,0,1,0.81%,35,33,123
18,2,5,31.91,0.12,0.46,5,4,12,9.76%,17,12,56,45.53%,12,11,44,35.77%,1,3,8,6.5%,0,3,3,2.44%,0,0,0,0%,0,0,0,0%,35,33,123
19,5,5,22.76,0.07,0.38,4,10,19,15.45%,7,3,15,12.2%,8,10,35,28.46%,3,0,7,5.69%,13,10,47,38.21%,0,0,0,0%,0,0,0,0%,35,33,123
20,5,5,34.43,0.21,0.47,6,5,23,18.7%,0,2,4,3.25%,2,1,5,4.07%,7,13,32,26.02%,20,12,58,47.15%,0,0,1,0.81%,0,0,0,0%,35,33,123
21,4,5,31.91,0.32,0.46,0,0,1,0.81%,7,5,21,17.07%,5,17,45,36.59%,23,11,56,45.53%,0,0,0,0%,0,0,0,0%,0,0,0,0%,35,33,123
22,2,5,10.86,0.25,0.28,3,8,14,11.38%,15,6,35,28.46%,0,2,3,2.44%,13,14,53,43.09%,4,3,16,13.01%,0,0,1,0.81%,0,0,1,0.81%,35,33,123
23,5,5,41.06,0.53,0.53,1,4,10,8.13%,1,1,4,3.25%,3,7,17,13.82%,2,12,27,21.95%,28,9,65,52.85%,0,0,0,0%,0,0,0,0%,35,33,123
24,4,5,6.5,0.07,0.25,1,1,5,4.07%,7,4,23,18.7%,10,7,29,23.58%,11,8,31,25.2%,6,13,35,28.46%,0,0,0,0%,0,0,0,0%,35,33,123
25,1,5,0,-0.04,0.07,3,4,9,7.32%,0,1,6,4.88%,9,6,27,21.95%,4,9,31,25.2%,19,13,49,39.84%,0,0,1,0.81%,0,0,0,0%,35,33,123
26,5,5,41.06,0.47,0.53,4,4,12,9.76%,1,2,4,3.25%,1,9,14,11.38%,3,9,28,22.76%,26,9,65,52.85%,0,0,0,0%,0,0,0,0%,35,33,123
27,2,5,0,-0.09,0.08,2,1,3,2.44%,1,4,10,8.13%,19,11,58,47.15%,0,2,3,2.44%,13,15,48,39.02%,0,0,1,0.81%,0,0,0,0%,35,33,123
28,4,5,14.63,0.04,0.32,1,2,4,3.25%,16,18,65,52.85%,3,2,8,6.5%,13,11,39,31.71%,2,0,7,5.69%,0,0,0,0%,0,0,0,0%,35,33,123
29,3,5,6.5,0.04,0.25,0,1,2,1.63%,11,9,35,28.46%,11,9,31,25.2%,3,2,6,4.88%,10,12,49,39.84%,0,0,0,0%,0,0,0,0%,35,33,123
30,1,5,45.12,0.61,0.56,31,9,69,56.1%,2,9,20,16.26%,2,2,9,7.32%,0,10,20,16.26%,0,3,5,4.07%,0,0,0,0%,0,0,0,0%,35,33,123
31,5,5,64.43,0.4,0.72,2,12,25,20.33%,1,0,4,3.25%,0,2,4,3.25%,0,2,2,1.63%,32,17,88,71.54%,0,0,0,0%,0,0,0,0%,35,33,123
32,4,5,87.8,0.21,0.9,0,0,1,0.81%,0,2,3,2.44%,0,2,3,2.44%,35,26,111,90.24%,0,3,5,4.07%,0,0,0,0%,0,0,0,0%,35,33,123
33,3,5,61.38,0.52,0.69,0,5,7,5.69%,0,10,17,13.82%,32,13,85,69.11%,0,2,3,2.44%,3,3,11,8.94%,0,0,0,0%,0,0,0,0%,35,33,123
34,2,5,59.35,0.2,0.67,0,5,9,7.32%,27,19,83,67.48%,0,1,4,3.25%,1,2,3,2.44%,7,6,24,19.51%,0,0,0,0%,0,0,0,0%,35,33,123
35,5,5,69.51,0.25,0.76,0,2,2,1.63%,0,2,3,2.44%,1,3,5,4.07%,4,6,20,16.26%,30,20,93,75.61%,0,0,0,0%,0,0,0,0%,35,33,123
36,4,5,47.75,0.26,0.58,2,9,18,14.63%,3,1,8,6.5%,0,0,0,0%,26,16,71,57.72%,4,7,25,20.33%,0,0,1,0.81%,0,0,0,0%,35,33,123
37,3,5,33.94,0.3,0.47,3,15,31,25.2%,9,7,32,26.02%,22,11,58,47.15%,0,0,0,0%,1,0,2,1.63%,0,0,0,0%,0,0,0,0%,35,33,123
38,4,5,32.85,0.21,0.46,1,6,10,8.13%,2,4,11,8.94%,0,2,3,2.44%,19,11,56,45.53%,13,10,41,33.33%,0,0,2,1.63%,0,0,0,0%,35,33,123
39,2,5,39.55,0.12,0.51,9,10,34,27.64%,19,14,63,51.22%,1,1,3,2.44%,6,8,22,17.89%,0,0,0,0%,0,0,1,0.81%,0,0,0,0%,35,33,123
40,1,5,67.48,0.19,0.74,28,20,91,73.98%,3,2,6,4.88%,3,10,22,17.89%,0,0,0,0%,1,1,4,3.25%,0,0,0,0%,0,0,0,0%,35,33,123
41,2,5,77.64,0.42,0.82,0,1,2,1.63%,35,19,101,82.11%,0,4,7,5.69%,0,6,9,7.32%,0,3,4,3.25%,0,0,0,0%,0,0,0,0%,35,33,123
42,3,5,31.91,0.33,0.46,0,0,0,0%,2,4,9,7.32%,22,10,56,45.53%,11,18,56,45.53%,0,1,2,1.63%,0,0,0,0%,0,0,0,0%,35,33,123
43,5,5,0,0.11,0.16,23,15,64,52.03%,0,3,10,8.13%,1,0,2,1.63%,2,10,26,21.14%,9,5,20,16.26%,0,0,1,0.81%,0,0,0,0%,35,33,123
44,4,5,59.02,0.49,0.67,0,6,10,8.13%,1,6,11,8.94%,0,4,11,8.94%,33,15,82,66.67%,1,2,8,6.5%,0,0,1,0.81%,0,0,0,0%,35,33,123
45,5,5,56.3,0.23,0.65,0,1,1,0.81%,1,9,18,14.63%,1,2,5,4.07%,7,4,19,15.45%,26,17,80,65.04%,0,0,0,0%,0,0,0,0%,35,33,123
46,5,5,49.8,0.26,0.59,1,2,5,4.07%,8,7,26,21.14%,0,7,16,13.01%,0,1,2,1.63%,26,16,73,59.35%,0,0,1,0.81%,0,0,0,0%,35,33,123
47,3,5,8.81,0.22,0.27,17,16,61,49.59%,3,7,21,17.07%,15,7,33,26.83%,0,2,4,3.25%,0,1,3,2.44%,0,0,1,0.81%,0,0,0,0%,35,33,123
48,1,5,69.26,0.19,0.75,29,21,92,74.8%,0,2,3,2.44%,4,7,20,16.26%,1,1,3,2.44%,1,2,4,3.25%,0,0,1,0.81%,0,0,0,0%,35,33,123
49,1,5,5.49,0.25,0.24,12,3,30,24.39%,4,4,13,10.57%,3,2,13,10.57%,5,6,15,12.2%,11,18,52,42.28%,0,0,0,0%,0,0,0,0%,35,33,123
50,5,5,60.37,0.4,0.68,0,6,7,5.69%,0,2,4,3.25%,4,4,15,12.2%,2,7,13,10.57%,29,14,84,68.29%,0,0,0,0%,0,0,0,0%,35,33,123
51,2,5,50.82,0.56,0.6,0,3,8,6.5%,29,9,74,60.16%,1,6,10,8.13%,1,3,4,3.25%,4,12,25,20.33%,0,0,1,0.81%,0,0,1,0.81%,35,33,123
52,3,5,31.82,0.5,0.45,5,10,36,29.27%,3,2,6,4.88%,25,7,55,44.72%,2,9,16,13.01%,0,5,8,6.5%,0,0,2,1.63%,0,0,0,0%,35,33,123
53,5,5,52.24,0.43,0.62,0,7,10,8.13%,2,4,13,10.57%,2,2,9,7.32%,1,6,15,12.2%,30,14,76,61.79%,0,0,0,0%,0,0,0,0%,35,33,123
54,1,5,0,0.14,0.11,6,1,14,11.38%,17,18,61,49.59%,1,1,2,1.63%,7,4,18,14.63%,4,9,28,22.76%,0,0,0,0%,0,0,0,0%,35,33,123
55,4,5,45.12,0.23,0.56,1,6,19,15.45%,5,8,17,13.82%,2,5,7,5.69%,22,13,69,56.1%,5,1,11,8.94%,0,0,0,0%,0,0,0,0%,35,33,123
56,3,5,6.5,0.13,0.25,2,8,15,12.2%,19,14,60,48.78%,12,7,31,25.2%,2,1,10,8.13%,0,3,7,5.69%,0,0,0,0%,0,0,0,0%,35,33,123
57,2,5,0,0.05,0.13,2,1,4,3.25%,5,3,16,13.01%,5,6,17,13.82%,7,7,29,23.58%,16,16,57,46.34%,0,0,0,0%,0,0,0,0%,35,33,123
58,4,5,80.69,0.3,0.85,0,0,1,0.81%,0,2,3,2.44%,1,6,10,8.13%,34,22,104,84.55%,0,3,5,4.07%,0,0,0,0%,0,0,0,0%,35,33,123
59,3,5,46.14,0.35,0.57,0,0,1,0.81%,0,1,2,1.63%,27,14,70,56.91%,6,16,41,33.33%,2,2,9,7.32%,0,0,0,0%,0,0,0,0%,35,33,123
60,4,5,80.53,0.28,0.84,1,2,6,4.88%,0,0,0,0%,1,6,9,7.32%,33,22,103,83.74%,0,2,4,3.25%,0,1,1,0.81%,0,0,0,0%,35,32,123
61,4,5,46.14,0.2,0.57,3,10,16,13.01%,9,6,32,26.02%,0,1,1,0.81%,22,14,70,56.91%,1,2,4,3.25%,0,0,0,0%,0,0,0,0%,35,33,123
62,4,5,16.67,0.21,0.33,2,3,12,9.76%,6,4,24,19.51%,0,2,3,2.44%,16,8,41,33.33%,11,16,43,34.96%,0,0,0,0%,0,0,0,0%,35,33,123
63,1,5,90.85,0.12,0.93,35,29,114,92.68%,0,0,0,0%,0,3,7,5.69%,0,1,2,1.63%,0,0,0,0%,0,0,0,0%,0,0,0,0%,35,33,123
64,3,5,64.43,0.55,0.72,0,6,7,5.69%,1,10,20,16.26%,34,14,88,71.54%,0,0,0,0%,0,3,8,6.5%,0,0,0,0%,0,0,0,0%,35,33,123
65,4,5,73.58,0.07,0.79,0,0,1,0.81%,2,3,9,7.32%,3,5,13,10.57%,29,25,97,78.86%,1,0,3,2.44%,0,0,0,0%,0,0,0,0%,35,33,123
66,3,5,84.76,0.15,0.88,0,0,0,0%,0,0,4,3.25%,34,27,108,87.8%,1,2,6,4.88%,0,4,5,4.07%,0,0,0,0%,0,0,0,0%,35,33,123
67,2,5,39.02,0.47,0.51,0,1,2,1.63%,26,9,63,51.22%,2,2,6,4.88%,7,18,47,38.21%,0,3,5,4.07%,0,0,0,0%,0,0,0,0%,35,33,123
68,5,5,94.92,0.03,0.96,0,1,5,4.07%,0,0,0,0%,0,0,0,0%,0,0,0,0%,35,32,118,95.93%,0,0,0,0%,0,0,0,0%,35,33,123
69,3,5,65.45,0.34,0.72,0,1,1,0.81%,0,0,1,0.81%,32,19,89,72.36%,0,0,0,0%,3,13,32,26.02%,0,0,0,0%,0,0,0,0%,35,33,123
70,2,5,56.3,0.35,0.65,0,0,0,0%,28,15,80,65.04%,2,5,15,12.2%,0,1,1,0.81%,5,12,27,21.95%,0,0,0,0%,0,0,0,0%,35,33,123
71,4,5,88.82,0.06,0.91,0,0,6,4.88%,0,0,0,0%,0,2,4,3.25%,35,31,112,91.06%,0,0,1,0.81%,0,0,0,0%,0,0,0,0%,35,33,123
72,5,5,83.74,0.07,0.87,3,4,14,11.38%,0,0,0,0%,0,0,0,0%,0,1,2,1.63%,32,28,107,86.99%,0,0,0,0%,0,0,0,0%,35,33,123
73,3,5,74.59,0.19,0.8,0,0,0,0%,1,1,2,1.63%,30,22,98,79.67%,2,7,14,11.38%,2,3,9,7.32%,0,0,0,0%,0,0,0,0%,35,33,123
74,3,5,97.97,0.06,0.98,0,0,0,0%,0,1,1,0.81%,35,31,121,98.37%,0,0,0,0%,0,1,1,0.81%,0,0,0,0%,0,0,0,0%,35,33,123
75,3,5,80.69,0.15,0.85,0,0,0,0%,1,4,12,9.76%,33,26,104,84.55%,1,2,5,4.07%,0,1,2,1.63%,0,0,0,0%,0,0,0,0%,35,33,123
76,3,5,89.84,0.09,0.92,0,3,5,4.07%,0,0,0,0%,34,29,113,91.87%,1,0,1,0.81%,0,1,4,3.25%,0,0,0,0%,0,0,0,0%,35,33,123
77,3,5,35.98,0.12,0.49,5,7,16,13.01%,1,3,9,7.32%,18,13,60,48.78%,10,10,36,29.27%,1,0,2,1.63%,0,0,0,0%,0,0,0,0%,35,33,123
78,3,5,50.2,0.2,0.6,9,13,30,24.39%,4,6,16,13.01%,22,14,74,60.16%,0,0,2,1.63%,0,0,1,0.81%,0,0,0,0%,0,0,0,0%,35,33,123
79,1,5,57.32,0.35,0.66,27,14,81,65.85%,5,9,21,17.07%,2,3,11,8.94%,0,4,6,4.88%,1,3,4,3.25%,0,0,0,0%,0,0,0,0%,35,33,123
80,1,5,26.83,0.18,0.41,19,12,51,41.46%,0,2,3,2.44%,0,0,1,0.81%,15,15,60,48.78%,1,4,8,6.5%,0,0,0,0%,0,0,0,0%,35,33,123
81,1,5,20.73,0.36,0.37,19,6,45,36.59%,0,0,1,0.81%,8,12,41,33.33%,0,4,5,4.07%,8,11,31,25.2%,0,0,0,0%,0,0,0,0%,35,33,123
82,5,5,74.39,0.01,0.79,6,7,23,18.7%,0,0,0,0%,0,0,1,0.81%,1,0,1,0.81%,28,26,97,78.86%,0,0,1,0.81%,0,0,0,0%,35,33,123
83,3,5,63.54,-0.16,0.69,0,0,0,0%,1,0,2,1.63%,21,25,85,69.11%,1,0,4,3.25%,12,7,29,23.58%,0,1,3,2.44%,0,0,0,0%,35,32,123
84,4,5,56.93,0.2,0.63,0,0,0,0%,5,6,21,17.07%,5,10,19,15.45%,24,16,78,63.41%,1,0,1,0.81%,0,1,4,3.25%,0,0,0,0%,35,32,123
85,3,5,91.6,0.06,0.9,1,0,5,4.07%,0,1,2,1.63%,34,30,111,90.24%,0,1,1,0.81%,0,0,0,0%,0,1,4,3.25%,0,0,0,0%,35,32,123
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
