번호,정답,답지수,난이도,변별도,반응도,1번표기,,,,2번표기,,,,3번표기,,,,4번표기,,,,5번표기,,,,무표기,,,,중복표기,,,,합계,,
14,3,5,30.89,0.15,0.45,3,9,24,19.51%,4,2,9,7.32%,17,12,55,44.72%,10,11,31,25.2%,0,0,4,3.25%,0,0,0,0%,0,0,0,0%,34,34,123
15,3,5,43.09,0.29,0.54,1,4,11,8.94%,0,0,0,0%,22,12,67,54.47%,3,3,11,8.94%,8,15,34,27.64%,0,0,0,0%,0,0,0,0%,34,34,123
16,2,5,0,0.03,0.04,5,4,20,16.26%,2,1,5,4.07%,15,13,50,40.65%,5,12,29,23.58%,7,4,19,15.45%,0,0,0,0%,0,0,0,0%,34,34,123
17,1,5,4.71,0.29,0.24,13,3,29,23.58%,3,3,11,8.94%,8,18,49,39.84%,3,2,11,8.94%,7,8,22,17.89%,0,0,1,0.81%,0,0,0,0%,34,34,123
18,2,5,47.15,0.26,0.58,2,3,8,6.5%,22,13,71,57.72%,2,1,5,4.07%,8,13,30,24.39%,0,4,9,7.32%,0,0,0,0%,0,0,0,0%,34,34,123
19,2,5,0,0,0.11,14,4,31,25.2%,4,4,14,11.38%,3,5,15,12.2%,13,21,63,51.22%,0,0,0,0%,0,0,0,0%,0,0,0,0%,34,34,123
20,1,5,14.96,-0.09,0.32,10,13,39,31.71%,13,6,44,35.77%,4,5,17,13.82%,3,7,13,10.57%,4,3,9,7.32%,0,0,1,0.81%,0,0,0,0%,34,34,123
21,5,5,82.72,0.26,0.86,0,2,2,1.63%,1,3,4,3.25%,0,0,1,0.81%,0,5,10,8.13%,33,24,106,86.18%,0,0,0,0%,0,0,0,0%,34,34,123
22,4,5,20.73,0.29,0.37,5,3,16,13.01%,0,5,8,6.5%,10,11,44,35.77%,18,8,45,36.59%,1,7,10,8.13%,0,0,0,0%,0,0,0,0%,34,34,123
23,3,5,6.76,-0.06,0.25,3,2,9,7.32%,9,8,30,24.39%,8,10,31,25.2%,10,8,33,26.83%,4,6,19,15.45%,0,0,1,0.81%,0,0,0,0%,34,34,123
24,1,5,18.7,0.41,0.35,20,6,43,34.96%,4,13,33,26.83%,7,5,26,21.14%,0,5,6,4.88%,3,5,15,12.2%,0,0,0,0%,0,0,0,0%,34,34,123
25,3,5,53.25,0.21,0.63,0,10,17,13.82%,0,0,0,0%,25,18,77,62.6%,8,6,25,20.33%,1,0,4,3.25%,0,0,0,0%,0,0,0,0%,34,34,123
26,2,5,0,-0.09,0.09,4,2,9,7.32%,2,5,11,8.94%,19,8,52,42.28%,3,13,30,24.39%,6,6,21,17.07%,0,0,0,0%,0,0,0,0%,34,34,123
27,4,5,16.67,0.38,0.33,0,0,1,0.81%,0,8,14,11.38%,1,0,2,1.63%,19,6,41,33.33%,14,20,65,52.85%,0,0,0,0%,0,0,0,0%,34,34,123
28,2,5,78.66,0.29,0.83,0,0,0,0%,32,22,102,82.93%,1,1,3,2.44%,0,1,3,2.44%,1,10,15,12.2%,0,0,0,0%,0,0,0,0%,34,34,123
29,2,5,22.76,0.41,0.38,2,3,5,4.07%,21,7,47,38.21%,0,1,3,2.44%,3,15,34,27.64%,8,8,34,27.64%,0,0,0,0%,0,0,0,0%,34,34,123
30,1,5,76.63,0.24,0.81,31,23,100,81.3%,2,9,19,15.45%,1,1,2,1.63%,0,1,2,1.63%,0,0,0,0%,0,0,0,0%,0,0,0,0%,34,34,123
31,5,5,42.07,0.18,0.54,0,5,9,7.32%,0,0,0,0%,0,1,1,0.81%,13,13,47,38.21%,21,15,66,53.66%,0,0,0,0%,0,0,0,0%,34,34,123
32,2,5,20.73,0.26,0.37,6,9,39,31.71%,17,8,45,36.59%,1,10,16,13.01%,8,6,19,15.45%,2,1,4,3.25%,0,0,0,0%,0,0,0,0%,34,34,123
33,4,5,19.72,0.06,0.36,5,4,18,14.63%,4,1,6,4.88%,0,2,4,3.25%,14,12,44,35.77%,11,15,51,41.46%,0,0,0,0%,0,0,0,0%,34,34,123
34,1,5,5.49,0.18,0.24,12,6,30,24.39%,19,25,74,60.16%,2,3,12,9.76%,0,0,0,0%,1,0,7,5.69%,0,0,0,0%,0,0,0,0%,34,34,123
35,5,5,1.64,0.21,0.21,2,3,10,8.13%,18,21,65,52.85%,4,5,19,15.45%,0,2,2,1.63%,10,3,26,21.14%,0,0,1,0.81%,0,0,0,0%,34,34,123
36,4,5,0,0.32,0.16,9,14,42,34.15%,2,4,12,9.76%,9,12,37,30.08%,11,0,20,16.26%,3,4,12,9.76%,0,0,0,0%,0,0,0,0%,34,34,123
37,2,5,0,0.03,0.12,7,3,12,9.76%,4,3,15,12.2%,7,5,20,16.26%,0,1,11,8.94%,16,22,64,52.03%,0,0,1,0.81%,0,0,0,0%,34,34,123
38,2,5,34.96,0.24,0.48,5,9,21,17.07%,20,12,59,47.97%,1,3,5,4.07%,7,7,33,26.83%,1,3,5,4.07%,0,0,0,0%,0,0,0,0%,34,34,123
39,3,5,46.14,0.21,0.57,4,3,18,14.63%,1,0,3,2.44%,23,16,70,56.91%,2,8,12,9.76%,4,7,20,16.26%,0,0,0,0%,0,0,0,0%,34,34,123
40,2,5,80.69,0.15,0.85,0,3,7,5.69%,31,26,104,84.55%,0,2,4,3.25%,3,1,6,4.88%,0,2,2,1.63%,0,0,0,0%,0,0,0,0%,34,34,123
41,1,5,0,0,0.05,2,2,6,4.88%,0,3,4,3.25%,5,7,18,14.63%,17,17,68,55.28%,10,5,27,21.95%,0,0,0,0%,0,0,0,0%,34,34,123
42,5,5,94.92,0.09,0.96,0,1,1,0.81%,0,1,2,1.63%,0,1,2,1.63%,0,0,0,0%,34,31,118,95.93%,0,0,0,0%,0,0,0,0%,34,34,123
43,3,5,30.89,0.15,0.45,0,1,4,3.25%,2,1,7,5.69%,19,14,55,44.72%,11,10,40,32.52%,2,8,17,13.82%,0,0,0,0%,0,0,0,0%,34,34,123
44,4,5,10.57,0.06,0.28,0,1,1,0.81%,6,12,28,22.76%,16,11,59,47.97%,12,10,35,28.46%,0,0,0,0%,0,0,0,0%,0,0,0,0%,34,34,123
45,1,5,71.54,0.24,0.77,29,21,95,77.24%,1,2,7,5.69%,2,9,14,11.38%,1,0,2,1.63%,1,2,5,4.07%,0,0,0,0%,0,0,0,0%,34,34,123
46,5,5,0,-0.03,0.08,1,3,6,4.88%,17,14,53,43.09%,12,11,47,38.21%,2,3,7,5.69%,2,3,10,8.13%,0,0,0,0%,0,0,0,0%,34,34,123
47,1,5,7.52,0.12,0.26,10,6,32,26.02%,13,9,38,30.89%,7,9,32,26.02%,2,8,15,12.2%,2,2,6,4.88%,0,0,0,0%,0,0,0,0%,34,34,123
48,1,5,73.58,0.21,0.79,32,25,97,78.86%,0,2,7,5.69%,1,2,4,3.25%,0,1,1,0.81%,1,4,14,11.38%,0,0,0,0%,0,0,0,0%,34,34,123
49,1,5,40.57,0.18,0.52,21,15,64,52.03%,3,6,21,17.07%,10,9,25,20.33%,0,1,4,3.25%,0,3,8,6.5%,0,0,1,0.81%,0,0,0,0%,34,34,123
50,1,5,43.65,0.32,0.54,25,14,67,54.47%,6,12,33,26.83%,3,5,13,10.57%,0,0,1,0.81%,0,3,8,6.5%,0,0,1,0.81%,0,0,0,0%,34,34,123
51,1,5,55.28,0.41,0.64,28,14,79,64.23%,4,12,25,20.33%,0,0,0,0%,0,1,2,1.63%,2,7,17,13.82%,0,0,0,0%,0,0,0,0%,34,34,123
52,4,5,68.24,0.03,0.74,1,3,4,3.25%,6,7,20,16.26%,0,0,1,0.81%,25,24,91,73.98%,2,0,6,4.88%,0,0,1,0.81%,0,0,0,0%,34,34,123
53,2,5,21.75,0.32,0.37,13,15,55,44.72%,17,6,46,37.4%,4,11,19,15.45%,0,2,3,2.44%,0,0,0,0%,0,0,0,0%,0,0,0,0%,34,34,123
54,4,5,30.89,0.12,0.45,4,6,18,14.63%,0,7,10,8.13%,4,2,10,8.13%,18,14,55,44.72%,8,5,30,24.39%,0,0,0,0%,0,0,0,0%,34,34,123
55,4,5,73.58,0.15,0.79,1,1,5,4.07%,0,0,0,0%,4,8,18,14.63%,29,24,97,78.86%,0,1,3,2.44%,0,0,0,0%,0,0,0,0%,34,34,123
56,1,5,6.5,0.18,0.25,13,7,31,25.2%,4,1,5,4.07%,9,10,47,38.21%,2,6,15,12.2%,6,10,25,20.33%,0,0,0,0%,0,0,0,0%,34,34,123
57,4,5,0,-0.06,0.12,31,28,106,86.18%,0,1,2,1.63%,0,0,0,0%,3,5,15,12.2%,0,0,0,0%,0,0,0,0%,0,0,0,0%,34,34,123
58,5,5,19.06,-0.06,0.35,2,0,5,4.07%,6,7,22,17.89%,6,11,26,21.14%,8,2,26,21.14%,12,14,43,34.96%,0,0,1,0.81%,0,0,0,0%,34,34,123
59,2,5,54.27,0.26,0.63,0,1,1,0.81%,26,17,78,63.41%,2,2,7,5.69%,0,0,0,0%,6,14,37,30.08%,0,0,0,0%,0,0,0,0%,34,34,123
60,3,5,52.24,0.15,0.62,1,5,10,8.13%,1,2,7,5.69%,25,20,76,61.79%,5,3,19,15.45%,2,4,11,8.94%,0,0,0,0%,0,0,0,0%,34,34,123
61,3,5,21.11,0.26,0.37,4,4,15,12.2%,6,10,31,25.2%,18,9,45,36.59%,3,7,13,10.57%,3,4,18,14.63%,0,0,1,0.81%,0,0,0,0%,34,34,123
62,3,5,10.57,-0.12,0.28,7,6,25,20.33%,5,4,12,9.76%,8,12,35,28.46%,3,3,12,9.76%,11,9,39,31.71%,0,0,0,0%,0,0,0,0%,34,34,123
63,3,5,46.14,0.65,0.57,2,5,18,14.63%,0,6,10,8.13%,30,8,70,56.91%,0,4,5,4.07%,2,11,20,16.26%,0,0,0,0%,0,0,0,0%,34,34,123
64,3,5,18.7,0.29,0.35,6,2,15,12.2%,2,6,12,9.76%,17,7,43,34.96%,7,12,34,27.64%,2,7,19,15.45%,0,0,0,0%,0,0,0,0%,34,34,123
65,1,5,82.72,0.21,0.86,32,25,106,86.18%,0,1,2,1.63%,0,0,0,0%,2,7,10,8.13%,0,1,5,4.07%,0,0,0,0%,0,0,0,0%,34,34,123
66,2,5,36.99,0.47,0.5,1,5,15,12.2%,26,10,61,49.59%,5,13,35,28.46%,2,2,7,5.69%,0,4,5,4.07%,0,0,0,0%,0,0,0,0%,34,34,123
67,1,5,5.49,0.18,0.24,11,5,30,24.39%,0,1,1,0.81%,20,23,81,65.85%,2,2,5,4.07%,1,3,6,4.88%,0,0,0,0%,0,0,0,0%,34,34,123
68,4,5,48.17,0.5,0.59,1,6,14,11.38%,2,4,10,8.13%,0,0,0,0%,28,11,72,58.54%,3,13,27,21.95%,0,0,0,0%,0,0,0,0%,34,34,123
69,4,5,40.57,0.47,0.52,5,9,27,21.95%,4,13,24,19.51%,0,2,6,4.88%,25,9,64,52.03%,0,1,1,0.81%,0,0,1,0.81%,0,0,0,0%,34,34,123
70,4,5,78.66,0.15,0.83,0,2,6,4.88%,0,2,4,3.25%,1,3,10,8.13%,32,27,102,82.93%,1,0,1,0.81%,0,0,0,0%,0,0,0,0%,34,34,123
71,1,5,76.63,0.26,0.81,32,23,100,81.3%,1,4,14,11.38%,0,4,4,3.25%,1,3,5,4.07%,0,0,0,0%,0,0,0,0%,0,0,0,0%,34,34,123
72,5,5,74.59,0.09,0.8,1,0,3,2.44%,1,0,1,0.81%,2,7,15,12.2%,2,2,6,4.88%,28,25,98,79.67%,0,0,0,0%,0,0,0,0%,34,34,123
73,5,5,87.8,0.06,0.9,0,0,0,0%,0,2,2,1.63%,1,3,7,5.69%,2,0,3,2.44%,31,29,111,90.24%,0,0,0,0%,0,0,0,0%,34,34,123
74,2,5,55.94,0.32,0.64,3,4,11,8.94%,27,16,79,64.23%,1,5,15,12.2%,2,2,8,6.5%,1,7,9,7.32%,0,0,1,0.81%,0,0,0,0%,34,34,123
75,5,5,27.85,0.35,0.42,7,7,25,20.33%,1,6,10,8.13%,1,3,9,7.32%,4,9,27,21.95%,21,9,52,42.28%,0,0,0,0%,0,0,0,0%,34,34,123
76,1,5,30.33,0.35,0.44,21,9,54,43.9%,3,6,13,10.57%,2,3,13,10.57%,4,5,17,13.82%,4,11,25,20.33%,0,0,1,0.81%,0,0,0,0%,34,34,123
77,4,5,41.06,0.24,0.53,8,4,16,13.01%,1,3,9,7.32%,2,7,14,11.38%,19,11,65,52.85%,4,9,19,15.45%,0,0,0,0%,0,0,0,0%,34,34,123
78,4,5,15.98,0.21,0.33,2,4,12,9.76%,1,2,4,3.25%,8,12,32,26.02%,13,6,40,32.52%,10,10,34,27.64%,0,0,1,0.81%,0,0,0,0%,34,34,123
79,2,5,81.71,0.24,0.85,0,3,4,3.25%,32,24,105,85.37%,0,0,0,0%,2,2,7,5.69%,0,5,7,5.69%,0,0,0,0%,0,0,0,0%,34,34,123
80,1,5,48.17,0.35,0.59,26,14,72,58.54%,5,13,34,27.64%,1,1,3,2.44%,0,0,0,0%,2,6,14,11.38%,0,0,0,0%,0,0,0,0%,34,34,123
81,1,5,0,0.06,0.08,3,1,10,8.13%,7,9,29,23.58%,3,10,22,17.89%,20,11,56,45.53%,1,3,5,4.07%,0,0,1,0.81%,0,0,0,0%,34,34,123
82,3,5,65.45,0.47,0.72,3,6,14,11.38%,0,6,9,7.32%,31,15,89,72.36%,0,7,10,8.13%,0,0,1,0.81%,0,0,0,0%,0,0,0,0%,34,34,123
83,3,5,45.12,0.18,0.56,3,4,17,13.82%,3,6,14,11.38%,24,18,69,56.1%,2,6,15,12.2%,2,0,8,6.5%,0,0,0,0%,0,0,0,0%,34,34,123
84,2,5,85.77,0.09,0.89,0,1,2,1.63%,31,28,109,88.62%,1,4,7,5.69%,1,1,4,3.25%,1,0,1,0.81%,0,0,0,0%,0,0,0,0%,34,34,123
85,2,5,49.19,0.29,0.59,4,2,19,15.45%,25,15,73,59.35%,4,14,26,21.14%,1,2,4,3.25%,0,1,1,0.81%,0,0,0,0%,0,0,0,0%,34,34,123
86,2,5,71.54,0.09,0.77,2,2,5,4.07%,28,25,95,77.24%,0,1,2,1.63%,0,2,2,1.63%,4,4,19,15.45%,0,0,0,0%,0,0,0,0%,34,34,123
87,2,5,12.6,0.15,0.3,3,3,8,6.5%,14,9,37,30.08%,16,13,57,46.34%,1,6,13,10.57%,0,3,8,6.5%,0,0,0,0%,0,0,0,0%,34,34,123
88,2,5,0,0.15,0.08,13,13,51,41.46%,5,0,10,8.13%,7,3,23,18.7%,8,17,36,29.27%,1,1,2,1.63%,0,0,1,0.81%,0,0,0,0%,34,34,123
89,4,5,0,0,0.04,15,18,54,43.9%,2,2,6,4.88%,17,14,54,43.9%,0,0,5,4.07%,0,0,3,2.44%,0,0,1,0.81%,0,0,0,0%,34,34,123
90,2,5,0,-0.12,0.16,21,16,66,53.66%,3,7,20,16.26%,0,3,6,4.88%,8,8,26,21.14%,2,0,5,4.07%,0,0,0,0%,0,0,0,0%,34,34,123
91,2,5,24.8,0.41,0.4,2,0,5,4.07%,22,8,49,39.84%,5,5,19,15.45%,5,11,32,26.02%,0,10,18,14.63%,0,0,0,0%,0,0,0,0%,34,34,123
92,5,5,15.65,0.18,0.33,11,15,48,39.02%,0,1,1,0.81%,0,0,0,0%,9,10,34,27.64%,14,8,40,32.52%,0,0,0,0%,0,0,0,0%,34,34,123
93,1,5,2.44,0.26,0.22,14,5,27,21.95%,1,0,5,4.07%,11,9,41,33.33%,6,10,29,23.58%,2,10,21,17.07%,0,0,0,0%,0,0,0,0%,34,34,123
94,4,5,46.14,0.32,0.57,7,13,37,30.08%,2,6,14,11.38%,0,0,0,0%,25,14,70,56.91%,0,1,2,1.63%,0,0,0,0%,0,0,0,0%,34,34,123
95,5,5,44.11,0.32,0.55,1,3,8,6.5%,1,0,1,0.81%,8,15,40,32.52%,0,3,6,4.88%,24,13,68,55.28%,0,0,0,0%,0,0,0,0%,34,34,123
96,5,5,66.46,0.26,0.73,0,0,1,0.81%,4,7,20,16.26%,0,0,0,0%,0,6,12,9.76%,30,21,90,73.17%,0,0,0,0%,0,0,0,0%,34,34,123
97,1,5,47.15,0.29,0.58,24,14,71,57.72%,3,9,20,16.26%,1,1,6,4.88%,5,5,18,14.63%,1,5,8,6.5%,0,0,0,0%,0,0,0,0%,34,34,123
98,4,5,13.22,0.03,0.3,6,5,14,11.38%,6,7,28,22.76%,2,2,7,5.69%,9,8,37,30.08%,10,12,35,28.46%,1,0,2,1.63%,0,0,0,0%,33,34,123
99,2,5,47.15,0.15,0.58,2,4,10,8.13%,22,17,71,57.72%,0,2,4,3.25%,0,0,0,0%,10,11,38,30.89%,0,0,0,0%,0,0,0,0%,34,34,123
100,2,5,56.3,0.06,0.65,1,1,6,4.88%,22,20,80,65.04%,1,3,9,7.32%,4,4,13,10.57%,6,6,15,12.2%,0,0,0,0%,0,0,0,0%,34,34,123
101,2,5,85.77,0.06,0.89,1,1,3,2.44%,31,29,109,88.62%,0,0,0,0%,1,1,3,2.44%,1,3,8,6.5%,0,0,0,0%,0,0,0,0%,34,34,123
102,1,5,56.3,0.09,0.65,24,21,80,65.04%,5,7,22,17.89%,0,0,0,0%,4,4,14,11.38%,1,2,7,5.69%,0,0,0,0%,0,0,0,0%,34,34,123
103,1,5,9.55,0.12,0.28,12,8,34,27.64%,0,0,0,0%,0,3,4,3.25%,1,0,3,2.44%,21,23,82,66.67%,0,0,0,0%,0,0,0,0%,34,34,123
104,5,5,57.32,0.41,0.66,1,4,7,5.69%,6,13,29,23.58%,0,2,4,3.25%,0,2,2,1.63%,27,13,81,65.85%,0,0,0,0%,0,0,0,0%,34,34,123
105,2,5,0,-0.03,0.13,1,1,4,3.25%,5,6,16,13.01%,22,18,77,62.6%,1,3,8,6.5%,5,6,17,13.82%,0,0,1,0.81%,0,0,0,0%,34,34,123
